,time,mem_transfer_included,gpu_or_naive,sub_function,num_rows,num_cols
132,0.03131065559387207,True,gpu,calculate_score,10000,10
133,0.03062179183959961,False,gpu,calculate_score,10000,10
134,0.0009543039798736572,True,gpu,choose_best_score,10000,10
135,0.00013897599279880525,False,gpu,choose_best_score,10000,10
136,0.0004659839868545532,True,gpu,split_data,10000,10
137,5.311999842524529e-05,False,gpu,split_data,10000,10
138,0.00010776519775390625,True,gpu,check_terminal_case,10,5476
139,0.010389535903930665,True,gpu,calculate_score,5476,10
140,0.009914079666137696,False,gpu,calculate_score,5476,10
141,0.0008332480192184448,True,gpu,choose_best_score,5476,10
142,0.0001290239989757538,False,gpu,choose_best_score,5476,10
143,0.00039583998918533324,True,gpu,split_data,5476,10
144,5.049600079655647e-05,False,gpu,split_data,5476,10
145,0.00012230873107910156,True,gpu,check_terminal_case,10,4524
146,0.0073127679824829105,True,gpu,calculate_score,4524,10
147,0.006828544139862061,False,gpu,calculate_score,4524,10
148,0.0008200320005416871,True,gpu,choose_best_score,4524,10
149,0.00012227199971675873,False,gpu,choose_best_score,4524,10
150,0.00037363201379776,True,gpu,split_data,4524,10
151,4.886399954557419e-05,False,gpu,split_data,4524,10
152,3.218650817871094e-05,True,gpu,check_terminal_case,10,70
153,0.0007028160095214844,True,gpu,calculate_score,70,10
154,6.934399902820587e-05,False,gpu,calculate_score,70,10
155,0.0007299200296401977,True,gpu,choose_best_score,70,10
156,0.00012054400146007538,False,gpu,choose_best_score,70,10
157,0.00030460798740386964,True,gpu,split_data,70,10
158,4.69760000705719e-05,False,gpu,split_data,70,10
159,9.107589721679688e-05,True,gpu,check_terminal_case,10,5406
160,0.009300127983093261,True,gpu,calculate_score,5406,10
161,0.008810239791870117,False,gpu,calculate_score,5406,10
162,0.0008284159898757935,True,gpu,choose_best_score,5406,10
163,0.00012121599912643433,False,gpu,choose_best_score,5406,10
164,0.0004012799859046936,True,gpu,split_data,5406,10
165,4.9407999962568284e-05,False,gpu,split_data,5406,10
166,6.29425048828125e-05,True,gpu,check_terminal_case,10,2364
167,3.790855407714844e-05,True,gpu,check_terminal_case,10,2160
168,0.002107232093811035,True,gpu,calculate_score,2160,10
169,0.0016423039436340332,False,gpu,calculate_score,2160,10
170,0.0007320640087127686,True,gpu,choose_best_score,2160,10
171,0.00011878400295972824,False,gpu,choose_best_score,2160,10
172,0.0003705599904060364,True,gpu,split_data,2160,10
173,4.8415999859571457e-05,False,gpu,split_data,2160,10
174,2.9802322387695312e-05,True,gpu,check_terminal_case,10,5
175,1.239776611328125e-05,True,gpu,check_terminal_case,10,65
176,7.82012939453125e-05,True,gpu,check_terminal_case,10,5390
177,1.0967254638671875e-05,True,gpu,check_terminal_case,10,16
178,1.0013580322265625e-05,True,gpu,check_terminal_case,10,14
179,3.0517578125e-05,True,gpu,check_terminal_case,10,2146
180,0.11451482772827148,True,gpu,top_level,10000,10
181,0.0020470619201660156,True,sklearn,top_level,10,100
182,2.3365020751953125e-05,True,gpu,check_terminal_case,100,10
183,0.0004490880072116852,True,gpu,calculate_score,10,100
184,6.345599889755249e-05,False,gpu,calculate_score,10,100
185,0.0006986560225486756,True,gpu,choose_best_score,10,100
186,0.00011727999895811081,False,gpu,choose_best_score,10,100
187,0.0003047679960727692,True,gpu,split_data,10,100
188,4.470400139689446e-05,False,gpu,split_data,10,100
189,2.4557113647460938e-05,True,gpu,check_terminal_case,100,6
190,0.00039107200503349306,True,gpu,calculate_score,6,100
191,5.2032001316547395e-05,False,gpu,calculate_score,6,100
192,0.0006194559931755066,True,gpu,choose_best_score,6,100
